timestamp,bearing_deg,distance_m,radial_velocity_ms
0.380893,-0.276529,1.877343,0.064769
0.480955,-0.468307,0.617606,-0.023414
0.580826,1.534869,0.628843,-0.046947
0.680993,-0.926835,0.418512,-0.046573
0.780937,-3.826560,0.358392,-0.172492
0.880690,-2.025662,0.197542,0.031425
0.980710,-2.824607,0.150000,0.146565
1.080763,0.135056,0.264845,-0.142475
1.180628,0.221845,0.204123,-0.115099
1.280752,-1.201277,0.388140,-0.029169
1.380718,3.704556,0.192659,-0.001350
1.480745,1.645090,0.150000,-0.122084
1.580754,-3.919340,0.350773,-0.132819
1.680788,1.476933,0.348372,0.017137
1.780836,-0.602207,0.293870,-0.147852
1.880594,-0.921278,0.164031,0.105712
1.980915,-3.526080,0.376724,0.032408
2.080803,-1.353844,0.230984,0.061168
2.180737,1.862560,0.514200,-0.083922
2.280625,0.662527,0.246158,0.097555
2.380743,-0.371318,0.212165,-0.110633
2.480757,1.625052,0.150000,0.135624
2.580747,2.007066,0.309598,0.036164
2.680732,0.722791,0.194976,0.153804
2.780741,3.129287,0.318835,-0.261975
2.880719,0.174094,0.472381,-0.029901
2.980741,-3.975138,0.326352,-0.021967
3.080782,2.955788,0.380423,-0.051827
3.180748,-1.003514,0.150000,0.091540
3.280731,-1.059520,0.374750,0.051327
3.380794,1.937290,0.328416,-0.070205
3.480795,-0.784216,0.243468,-0.146351
3.580638,0.522111,0.368224,0.000511
3.680734,-2.830741,0.270083,-0.042065
3.780732,-1.604555,0.248457,-0.016129
3.880783,3.772372,0.389810,0.017458
3.980774,-0.148892,0.360510,-0.191877
4.080770,0.120460,0.303697,0.246324
4.180768,0.603095,0.269528,-0.003471
4.280766,2.285646,0.150000,0.075193
4.380762,-1.818775,0.466206,0.140279
4.480769,1.173714,0.150000,0.219046
4.580747,-1.132595,0.150000,0.009965
4.680842,-3.101327,0.207305,0.006856
4.781023,0.947185,0.150000,-0.091942
4.880806,-1.566507,0.617987,-0.032206
4.980674,-2.461729,0.470703,0.022746
5.080819,-3.214966,0.847429,0.018463
5.180764,1.563646,0.637977,-0.123695
5.280770,1.043883,0.321909,0.029698
5.380811,0.692896,0.636099,-0.068002
5.480689,0.586145,0.384451,-0.071435
5.580761,0.947666,0.711155,-0.119130
5.680743,-1.949363,0.469311,0.078708
5.780799,-1.641365,0.608719,0.096338
5.880764,1.644120,0.420556,0.189679
5.980798,-1.507472,0.270922,-0.088951
6.080796,-0.154203,0.156838,0.034115
6.180779,1.654366,0.364338,0.001300
6.280792,-0.529314,0.599707,0.272017
6.380849,-1.714315,0.434133,-0.107089
6.481201,-0.446926,0.405494,0.071400
6.580828,-0.145658,0.403648,-0.084679
6.680882,-0.893030,0.150000,0.085640
6.780802,-2.491478,0.351819,0.017318
6.880938,-1.767715,0.386063,0.015373
6.980781,-2.285941,0.324642,0.035779
7.080807,2.166102,0.425157,0.105380
7.180814,-1.875650,0.150000,0.051504
7.280776,1.030095,0.412757,0.385273
7.380676,2.271131,0.427178,0.095400
7.480726,-0.630538,0.443278,0.075897
7.580731,-0.473637,0.158435,-0.048536
7.680849,4.629317,0.329375,-0.186727
7.780782,-3.225432,0.450252,-0.047193
7.880752,0.128560,0.530790,-0.107774
7.980583,1.359195,0.169939,-0.073037
8.080627,0.091144,0.480292,-0.065160
8.180807,1.267838,0.865789,-0.202514
8.280776,-1.323573,0.474291,0.085243
8.380777,-0.229473,0.278496,0.050499
8.480809,-2.400593,0.481151,-0.033450
8.580838,-1.306658,0.213011,0.176545
8.680803,-2.521768,0.446996,0.091786
8.780811,2.064931,0.790431,-0.151937
