timestamp,bearing_deg,distance_m,radial_velocity_ms
0.425451,-0.276529,0.795343,0.064769
0.525568,-0.468307,1.000606,-0.023414
0.625386,1.534869,1.011843,-0.046947
0.725410,-0.926835,0.804512,-0.046573
0.825389,-3.826560,0.744392,-0.172492
0.926003,-2.025662,0.583542,0.031425
1.025461,-2.824607,0.150000,0.146565
1.125404,0.135056,0.283845,-0.142475
1.225587,0.221845,0.369123,-0.115099
1.325492,-1.201277,0.553140,-0.029169
1.425657,3.704556,0.417659,-0.001350
1.525680,1.645090,0.326458,-0.122084
1.625607,-3.919340,0.579773,-0.132819
1.725460,1.476933,0.577372,0.017137
1.825523,-0.602207,0.514870,-0.147852
1.925426,-0.921278,0.394031,0.105712
2.025278,-3.526080,0.788724,0.032408
2.125325,-1.353844,1.026984,0.061168
2.225406,1.862560,1.310200,-0.083922
2.325372,0.662527,1.042158,0.097555
2.425475,-0.371318,0.624165,-0.110633
2.525402,1.625052,0.316759,0.135624
2.625382,2.007066,0.541598,0.036164
2.725320,0.722791,0.426976,0.153804
2.825485,3.129287,0.395835,-0.261975
2.926134,0.174094,0.567381,-0.029901
3.025926,-3.975138,0.421352,-0.021967
3.125468,2.955788,0.474423,-0.051827
3.225375,-1.003514,0.241301,0.091540
3.325331,-1.059520,0.468750,0.051327
3.425700,1.937290,0.387416,-0.070205
3.525409,-0.784216,0.302468,-0.146351
3.625542,0.522111,0.427224,0.000511
3.725413,-2.830741,0.755083,-0.042065
3.825436,-1.604555,0.733457,-0.016129
3.925586,3.772372,0.882810,0.017458
4.025460,-0.148892,1.041510,-0.191877
4.127013,0.120460,1.100697,0.246324
4.225496,0.603095,1.067528,-0.003471
4.325362,2.285646,0.868264,0.075193
4.425385,-1.818775,1.148206,0.140279
4.525608,1.173714,0.709630,0.219046
4.625560,-1.132595,0.791893,0.009965
4.725518,-3.101327,0.889305,0.006856
4.825378,0.947185,0.767539,-0.091942
4.925415,-1.566507,1.061987,-0.032206
5.025605,-2.461729,0.724703,0.022746
5.125479,-3.214966,0.657429,0.018463
5.225399,1.563646,0.447977,-0.123695
5.325525,1.043883,0.150000,0.029698
5.425410,0.692896,0.446099,-0.068002
