timestamp,bearing_deg,distance_m,radial_velocity_ms
0.775296,-0.276529,0.380343,0.064769
0.875517,-0.468307,0.585606,-0.023414
0.975384,1.534869,0.596843,-0.046947
1.075248,-0.926835,0.389512,-0.046573
1.175261,-3.826560,0.329392,-0.172492
1.275227,-2.025662,0.168542,0.031425
1.375271,-2.824607,0.150000,0.146565
1.475273,0.135056,0.235845,-0.142475
1.575767,0.221845,0.173123,-0.115099
1.675082,-1.201277,0.366140,-0.029169
1.775062,3.704556,0.170659,-0.001350
1.874882,1.645090,0.150000,-0.122084
1.974859,-3.919340,0.332773,-0.132819
2.074977,1.476933,0.343372,0.017137
2.176414,-0.602207,0.280870,-0.147852
2.275232,-0.921278,0.160031,0.105712
2.375225,-3.526080,0.372724,0.032408
2.475566,-1.353844,0.253984,0.061168
2.577105,1.862560,0.510200,-0.083922
2.675011,0.662527,0.242158,0.097555
2.774924,-0.371318,0.189165,-0.110633
2.875008,1.625052,0.150000,0.135624
2.975007,2.007066,0.266598,0.036164
3.074975,0.722791,0.151976,0.153804
3.175025,3.129287,0.273835,-0.261975
3.275060,0.174094,0.445381,-0.029901
3.374990,-3.975138,0.299352,-0.021967
3.474972,2.955788,0.352423,-0.051827
3.574964,-1.003514,0.150000,0.091540
3.675002,-1.059520,0.346750,0.051327
3.785434,1.937290,0.300416,-0.070205
3.875034,-0.784216,0.215468,-0.146351
3.975034,0.522111,0.340224,0.000511
4.075699,-2.830741,0.234083,-0.042065
4.175163,-1.604555,0.212457,-0.016129
4.275004,3.772372,0.363810,0.017458
4.376490,-0.148892,0.334510,-0.191877
4.475021,0.120460,0.275697,0.246324
4.575035,0.603095,0.244528,-0.003471
4.675110,2.285646,0.150000,0.075193
4.775001,-1.818775,0.444206,0.140279
4.875022,1.173714,0.150000,0.219046
4.975018,-1.132595,0.150000,0.009965
5.075029,-3.101327,0.185305,0.006856
5.175029,0.947185,0.150000,-0.091942
5.274980,-1.566507,0.593987,-0.032206
5.375055,-2.461729,0.443703,0.022746
5.475005,-3.214966,0.542429,0.018463
5.575040,1.563646,0.332977,-0.123695
5.675016,1.043883,0.150000,0.029698
5.775302,0.692896,0.331099,-0.068002
5.875059,0.586145,0.327451,-0.071435
5.975051,0.947666,0.654155,-0.119130
6.075063,-1.949363,0.412311,0.078708
6.175058,-1.641365,0.512719,0.096338
6.275025,1.644120,0.363556,0.189679
6.375032,-1.507472,0.231922,-0.088951
6.475057,-0.154203,0.150000,0.034115
6.575023,1.654366,0.342338,0.001300
6.675032,-0.529314,0.577707,0.272017
6.774966,-1.714315,0.412133,-0.107089
6.875032,-0.446926,0.379494,0.071400
6.975024,-0.145658,0.377648,-0.084679
7.075062,-0.893030,0.150000,0.085640
7.175040,-2.491478,0.325819,0.017318
7.275038,-1.767715,0.364063,0.015373
7.375060,-2.285941,0.298642,0.035779
7.475013,2.166102,0.395157,0.105380
7.574956,-1.875650,0.150000,0.051504
7.674973,1.030095,0.386757,0.385273
7.776557,2.271131,0.401178,0.095400
7.874962,-0.630538,0.422278,0.075897
7.974978,-0.473637,0.150000,-0.048536
8.074959,4.629317,0.308375,-0.186727
8.174975,-3.225432,0.429252,-0.047193
8.274966,0.128560,0.520790,-0.107774
8.375036,1.359195,0.159939,-0.073037
8.475040,0.091144,0.346292,-0.065160
8.574934,1.267838,0.731789,-0.202514
8.675336,-1.323573,0.340291,0.085243
8.775021,-0.229473,0.150000,0.050499
8.877201,-2.400593,0.476151,-0.033450
8.975013,-1.306658,0.197011,0.176545
9.074980,-2.521768,0.364996,0.091786
9.175096,2.064931,0.716431,-0.151937
9.275069,2.533822,0.195153,-0.070767
9.375083,1.549268,0.379764,-0.092693
9.475016,-6.482535,0.279095,-0.102439
9.575012,-2.495566,0.240486,0.163241
9.674985,-0.880089,0.150000,0.013074
9.775023,-2.871724,0.573255,0.116316
9.875009,-1.963017,0.287047,0.046210
9.974979,-1.200434,0.324812,0.006980
10.075052,0.227035,0.207937,0.066213
10.175051,-2.475631,0.602203,0.213303
10.274995,-0.303570,0.150000,0.058832
10.374994,-1.245399,0.341198,-0.020812
10.475002,-1.178730,0.186400,0.084960
10.575007,-1.385819,0.356403,0.089960
10.675037,1.625724,0.359460,0.062963
10.775041,-1.120362,0.150000,0.074729
10.875054,-0.041803,0.517074,0.011733
10.975031,-1.183143,0.553533,0.054710
11.074985,-0.435362,0.308561,0.109878
11.174988,1.627019,0.514083,0.130548
11.275030,1.363906,0.353201,-0.031027
11.375031,-0.260286,0.413833,0.009700
11.475087,-1.636441,0.468031,0.209239
11.575017,-2.428377,0.150000,0.115811
11.675006,1.248240,0.456333,0.062835
11.775018,-1.794509,0.295551,0.007580
11.875242,1.950239,0.150000,-0.014706
11.974951,-0.642772,0.150000,0.041293
12.075001,-1.644441,0.170255,0.024369
12.175009,-1.013886,0.330993,-0.047104
12.275028,-2.896169,0.327410,-0.140746
12.375003,-0.426894,0.150000,0.031091
12.475022,1.715319,0.576071,-0.015994
12.574998,-2.005059,0.277197,-0.001851
12.675020,0.645437,0.223268,-0.082723
12.774978,3.065478,0.384869,-0.010876
12.875180,1.380288,0.361342,-0.040122
12.975020,0.025185,0.325818,0.009768
13.075017,0.049020,0.150000,0.049800
13.174962,1.918542,0.571229,0.215318
13.275005,1.744641,0.150000,0.018334
13.374991,-1.616597,0.718961,-0.083972
13.475036,-4.247791,0.161121,-0.052576
13.575022,0.300788,0.150000,0.034176
13.674978,1.900848,0.656234,-0.057690
13.775040,0.983838,0.150000,-0.132023
13.875030,2.358880,0.647292,-0.046918
13.975031,2.707745,0.150000,-0.011454
14.075078,-3.188855,0.528563,-0.059938
14.175034,0.093961,0.282049,-0.045007
14.275035,-2.135241,0.405570,-0.014238
14.375007,1.028878,0.305059,0.071161
14.475004,-3.068228,0.150000,0.127768
14.575003,-1.496973,0.347463,0.155115
14.675051,2.358594,0.304135,0.006752
14.775067,3.510682,0.693150,-0.024896
14.874970,1.290752,0.475314,0.136863
14.974966,1.372103,0.150000,0.105842
15.075058,-2.366517,0.150000,-0.203923
15.174997,1.435085,0.230119,0.150236
15.274961,3.257231,0.298819,-0.138010
15.374960,-0.111095,0.150000,0.038407
15.474978,-4.134884,0.277461,-0.008912
15.574979,1.339345,0.150000,0.036660
15.675035,-1.027734,0.150000,-0.105921
15.775019,1.910285,0.276464,-0.098573
15.874991,-1.060515,0.389809,-0.079287
